ts,db,c1_idx,c1_cf,c1_name,c2_idx,c2_cf,c2_name,c3_idx,c3_cf,c3_name
1746657333.102242,-47.0,494,66.7,Silence,0,5.9,Speech,500,0.8,"Inside, small room"
1746657336.088507,-29.9,0,99.9,Speech,500,0.9,"Inside, small room",3,0.0,"Narration, monologue"
1746657339.160578,-36.3,0,99.9,Speech,500,1.1,"Inside, small room",3,0.0,"Narration, monologue"
1746657342.141084,-31.7,0,100.0,Speech,500,5.3,"Inside, small room",3,0.4,"Narration, monologue"
1746657345.134047,-33.6,0,100.0,Speech,500,0.8,"Inside, small room",3,0.3,"Narration, monologue"
1746657348.1191192,-34.9,0,98.5,Speech,500,2.6,"Inside, small room",3,0.3,"Narration, monologue"
1746657351.106024,-38.3,0,99.6,Speech,500,3.9,"Inside, small room",3,0.1,"Narration, monologue"
1746657354.090352,-35.1,0,99.4,Speech,500,2.1,"Inside, small room",3,0.2,"Narration, monologue"
1746657357.1618528,-33.1,0,99.6,Speech,500,1.5,"Inside, small room",132,1.0,Music
1746657360.155616,-35.9,0,98.8,Speech,500,1.7,"Inside, small room",378,0.7,Typing
1746657363.1383522,-33.1,0,98.0,Speech,500,1.2,"Inside, small room",3,0.2,"Narration, monologue"
1746657366.128116,-38.6,0,87.4,Speech,500,4.7,"Inside, small room",381,1.0,Writing
1746657369.109112,-35.8,0,83.2,Speech,500,4.2,"Inside, small room",377,2.6,Shuffling cards
1746657372.094858,-47.8,494,92.4,Silence,500,0.9,"Inside, small room",0,0.6,Speech
1746657375.078773,-32.2,0,98.7,Speech,500,1.8,"Inside, small room",3,0.1,"Narration, monologue"
1746657378.150645,-37.3,0,99.1,Speech,500,1.9,"Inside, small room",3,0.8,"Narration, monologue"
1746657381.143695,-30.9,0,100.0,Speech,3,4.0,"Narration, monologue",500,0.1,"Inside, small room"
1746657384.131871,-34.6,0,99.8,Speech,500,0.6,"Inside, small room",3,0.5,"Narration, monologue"
1746657387.1175601,-34.6,0,99.3,Speech,500,1.6,"Inside, small room",3,0.1,"Narration, monologue"
1746657390.104408,-24.8,0,97.2,Speech,500,1.3,"Inside, small room",3,0.6,"Narration, monologue"
1746657393.0920398,-29.3,0,98.0,Speech,500,2.1,"Inside, small room",501,0.2,"Inside, large room or hall"
1746657396.157136,-30.3,0,98.4,Speech,3,0.2,"Narration, monologue",500,0.2,"Inside, small room"
1746657399.152035,-46.2,0,41.7,Speech,500,5.9,"Inside, small room",494,5.8,Silence
1746657402.137109,-33.3,0,99.1,Speech,500,5.5,"Inside, small room",2,0.6,Conversation
1746657405.123032,-29.7,0,99.9,Speech,500,0.5,"Inside, small room",3,0.4,"Narration, monologue"
1746657408.1076632,-30.8,0,99.4,Speech,3,0.3,"Narration, monologue",500,0.2,"Inside, small room"
1746657411.0894668,-30.0,0,100.0,Speech,500,0.1,"Inside, small room",3,0.1,"Narration, monologue"
1746657414.1697001,-35.9,0,99.6,Speech,500,0.8,"Inside, small room",3,0.1,"Narration, monologue"
1746657417.154999,-39.2,0,98.1,Speech,500,0.6,"Inside, small room",378,0.3,Typing
1746657420.1413372,-34.3,0,99.7,Speech,3,0.2,"Narration, monologue",500,0.1,"Inside, small room"
1746657423.1280031,-38.5,0,98.2,Speech,500,0.5,"Inside, small room",3,0.2,"Narration, monologue"
1746657426.115084,-37.6,0,99.4,Speech,132,21.2,Music,3,0.1,"Narration, monologue"
1746657429.1017542,-29.2,0,98.6,Speech,500,0.6,"Inside, small room",3,0.2,"Narration, monologue"
1746657432.081383,-28.5,0,100.0,Speech,3,0.3,"Narration, monologue",500,0.1,"Inside, small room"
1746657435.160227,-34.0,0,96.8,Speech,500,1.6,"Inside, small room",2,1.1,Conversation
1746657438.146019,-36.0,0,99.4,Speech,3,1.7,"Narration, monologue",500,1.4,"Inside, small room"
1746657441.134934,-30.6,0,98.1,Speech,3,2.0,"Narration, monologue",500,0.7,"Inside, small room"
1746657444.120022,-38.8,0,99.9,Speech,3,0.7,"Narration, monologue",500,0.2,"Inside, small room"
1746657447.107021,-43.1,0,98.9,Speech,500,0.7,"Inside, small room",3,0.6,"Narration, monologue"
1746657450.093836,-29.7,0,100.0,Speech,500,0.5,"Inside, small room",3,0.2,"Narration, monologue"
1746657453.1586208,-33.1,0,99.8,Speech,3,0.5,"Narration, monologue",500,0.1,"Inside, small room"
1746657456.1527412,-32.1,0,100.0,Speech,500,0.2,"Inside, small room",3,0.0,"Narration, monologue"
1746657459.1401331,-27.1,0,99.9,Speech,2,1.7,Conversation,500,0.9,"Inside, small room"
1746657462.127336,-30.7,0,99.8,Speech,500,0.4,"Inside, small room",3,0.1,"Narration, monologue"
1746657465.112214,-32.3,0,99.8,Speech,500,3.1,"Inside, small room",501,0.0,"Inside, large room or hall"
1746657468.098592,-32.9,0,99.8,Speech,500,1.9,"Inside, small room",2,0.2,Conversation
1746657471.078538,-33.1,0,100.0,Speech,3,1.0,"Narration, monologue",500,0.1,"Inside, small room"
1746657474.158145,-35.2,0,97.1,Speech,500,1.7,"Inside, small room",132,0.2,Music
1746657477.144609,-28.9,0,98.7,Speech,3,0.3,"Narration, monologue",500,0.3,"Inside, small room"
1746657480.1319091,-33.8,0,99.1,Speech,3,1.4,"Narration, monologue",500,0.4,"Inside, small room"
1746657483.118098,-33.8,0,99.8,Speech,500,1.4,"Inside, small room",3,0.1,"Narration, monologue"
1746657486.1044412,-29.1,0,97.2,Speech,500,0.5,"Inside, small room",132,0.4,Music
