ts,db,c1_idx,c1_cf,c2_idx,c2_cf,c3_idx,c3_cf
1746586365.164887,-39.9,494,33.4,481,14.7,129,10.0
1746586367.118401,-40.8,494,45.0,481,9.0,277,8.5
1746586390.217282,-46.0,494,35.6,114,8.7,481,7.4
